Datetime	Close	Volume	AAPL-count	AAPL-followers	AAPL-followers happy	AAPL-followers sad	AAPL-happy	AAPL-sad
2013-12-13 17:27:00+00:00	555,7	29324	6	217,859	32,02	172,029	3	2
2013-12-13 17:28:00+00:00	555,5	32571	6	136,936	123,193	5,387	4	1
2013-12-13 17:29:00+00:00	555,28	22116	5	52,667	45,055	7,623	3	2
2013-12-13 17:30:00+00:00	555,17	10262	1	21,531	-0,001	0,002	0	0
2013-12-13 17:31:00+00:00	555,111	12363	5	77,843	59,591	4,692	2	1
2013-12-13 17:32:00+00:00	554,98	26408	2	77,92	-0,001	77,931	0	2
2013-12-13 17:33:00+00:00	554,82	5879	4	86,894	30,462	0,002	2	0
2013-12-13 17:34:00+00:00	554,79	17667	1	5,089	-0,001	0,002	0	0
2013-12-13 17:35:00+00:00	554,89	29226	1	5,375	5,384	0,002	1	0
2013-12-13 17:36:00+00:00	554,83	11035	3	126,181	75,537	50,655	1	2
2013-12-13 17:37:00+00:00	554,82	15033	2	28,165	13,891	0,002	1	0
2013-12-13 17:38:00+00:00	554,81	23451	1	21,085	-0,001	0,002	0	0
2013-12-13 17:39:00+00:00	554,903	24091	0	-0,01	-0,001	0,002	0	0
2013-12-13 17:40:00+00:00	555,04	16946	2	24,722	24,731	0,002	2	0
2013-12-13 17:41:00+00:00	554,83	14569	0	-0,01	-0,001	0,002	0	0
2013-12-13 17:42:00+00:00	554,97	10109	3	42,343	21,094	0,002	1	0
2013-12-13 17:43:00+00:00	555,12	7664	0	-0,01	-0,001	0,002	0	0
2013-12-13 17:44:00+00:00	555,07	6262	1	36,936	36,945	0,002	1	0
2013-12-13 17:45:00+00:00	554,91	9451	4	46,367	40,991	5,387	3	1
2013-12-13 17:46:00+00:00	554,815	11640	0	-0,01	-0,001	0,002	0	0
2013-12-13 17:47:00+00:00	554,93	5353	2	93,77	-0,001	0,002	0	0
2013-12-13 17:48:00+00:00	555	19705	4	327,604	13,415	22,047	1	1
2013-12-13 17:49:00+00:00	554,85	13812	2	66,555	42,212	0,002	1	0
2013-12-13 17:50:00+00:00	554,85	13181	6	62,991	41,419	14,801	4	1
2013-12-13 17:51:00+00:00	554,99	7530	3	25,206	13,265	9,952	1	1
2013-12-13 17:52:00+00:00	555,094	8499	1	5,375	-0,001	0,002	0	0
