Datetime	Close	Volume	MSFT-count	MSFT-followers	MSFT-followers happy	MSFT-followers sad
2013-08-16 16:05:00+00:00	31,6103	28556,9	4	25,077	25,08	0
2013-08-16 16:06:00+00:00	31,5904	14167,6	0	-0,003	0	0
2013-08-16 16:07:00+00:00	31,5904	22440,9	0	-0,003	0	0
2013-08-16 16:08:00+00:00	31,5904	37081,1	0	-0,003	0	0
2013-08-16 16:09:00+00:00	31,5904	36324,4	3	64,722	60,366	0
2013-08-16 16:10:00+00:00	31,6202	44338,7	1	8,541	0	0
2013-08-16 16:11:00+00:00	31,6202	73666,5	1	3,159	0	0
2013-08-16 16:12:00+00:00	31,64	85440,1	4	1846,559	522,28	0
2013-08-16 16:13:00+00:00	31,6103	80444,5	0	-0,003	0	0
2013-08-16 16:14:00+00:00	31,64	48580,7	1	20,925	20,928	0
2013-08-16 16:15:00+00:00	31,6301	17422,1	3	20,757	6	14,761
2013-08-16 16:16:00+00:00	31,6301	20265,5	3	584,374	563,024	0
2013-08-16 16:17:00+00:00	31,64	23720,5	7	661,98	661,984	0
2013-08-16 16:18:00+00:00	31,65	31861,8	4	93,403	52,774	40,632
2013-08-16 16:19:00+00:00	31,6301	25750,8	2	468,396	396,734	0
2013-08-16 16:20:00+00:00	31,6202	33851,8	1	23,491	23,495	0
2013-08-16 16:21:00+00:00	31,6003	34726,4	2	411,122	411,126	0
2013-08-16 16:22:00+00:00	31,6003	45930,7	3	402,243	402,247	0
2013-08-16 16:23:00+00:00	31,5805	35638,2	2	21,03	17,293	3,742
2013-08-16 16:24:00+00:00	31,5805	66251,7	4	43,298	8,719	17,292
2013-08-16 16:25:00+00:00	31,6003	98676,7	2	25,226	25,23	0
2013-08-16 16:26:00+00:00	31,6103	61617,8	2	96,682	6,559	0
2013-08-16 16:27:00+00:00	31,6003	24981	1	396,736	396,741	0
2013-08-16 16:28:00+00:00	31,6003	64644,6	10	611,339	246,93	6,083
2013-08-16 16:29:00+00:00	31,5805	68781,7	4	93,694	50,241	0
2013-08-16 16:30:00+00:00	31,5805	32517,8	3	1351,406	16,884	0
2013-08-16 16:31:00+00:00	31,5805	94243,4	3	145,365	33,325	112,045
2013-08-16 16:32:00+00:00	31,5706	83147,8	2	18,191	18,196	0
2013-08-16 16:33:00+00:00	31,5805	28762,5	2	19,869	8,429	0
2013-08-16 16:34:00+00:00	31,5904	14000,4	3	40,408	28,539	11,874
2013-08-16 16:35:00+00:00	31,5904	22378,4	1	396,729	396,734	0
2013-08-16 16:36:00+00:00	31,5805	50552,5	0	-0,003	0,002	0
2013-08-16 16:37:00+00:00	31,5706	42679,2	0	-0,003	0,002	0
2013-08-16 16:38:00+00:00	31,5904	38046,4	2	1338,307	1324,347	13,964
2013-08-16 16:39:00+00:00	31,5904	54808,5	1	78,496	78,5	0
2013-08-16 16:40:00+00:00	31,6003	50833,6	0	-0,002	0,002	0
2013-08-16 16:41:00+00:00	31,6103	38749,7	3	386,889	386,893	0
2013-08-16 16:42:00+00:00	31,6003	23729,6	0	-0,002	0,002	0
2013-08-16 16:43:00+00:00	31,6103	23731,6	2	417,373	20,642	0
2013-08-16 16:44:00+00:00	31,6003	24388,6	2	584,698	541,702	43
2013-08-16 16:45:00+00:00	31,6202	42459,6	1	7,139	7,143	0
2013-08-16 16:46:00+00:00	31,6301	59230,8	2	660,689	541,705	0
2013-08-16 16:47:00+00:00	31,6202	32496,6	0	-0,002	0,001	0
2013-08-16 16:48:00+00:00	31,6301	42629,9	6	162,182	136,243	25,942
2013-08-16 16:49:00+00:00	31,6003	62845	5	92,084	50,703	24,413
2013-08-16 16:50:00+00:00	31,6301	39238,3	1	1324,357	1324,359	0
2013-08-16 16:51:00+00:00	31,6301	17994,4	0	-0,001	0,001	0
2013-08-16 16:52:00+00:00	31,6103	28924,7	4	2668,769	2654,211	0
2013-08-16 16:53:00+00:00	31,65	19120,9	1	73,586	0,001	0
2013-08-16 16:54:00+00:00	31,65	28088,4	6	135,369	104,449	30,921
2013-08-16 16:55:00+00:00	31,64	27458,7	1	11,135	0,001	0
2013-08-16 16:56:00+00:00	31,65	31644,2	1	6,782	6,783	0
2013-08-16 16:57:00+00:00	31,64	19813,1	1	20,784	0,001	0
2013-08-16 16:58:00+00:00	31,64	15961,1	6	1426,178	1423,18	3
2013-08-16 16:59:00+00:00	31,64	51246,7	5	43,454	37,54	0
2013-08-16 17:00:00+00:00	31,64	53322,4	1	8,774	0,001	0
2013-08-16 17:01:00+00:00	31,64	23689,3	2	305,609	299,287	0
2013-08-16 17:02:00+00:00	31,6301	55617,6	1	1324,394	1324,397	0
2013-08-16 17:03:00+00:00	31,64	22976,9	0	-0,002	0,001	0
2013-08-16 17:04:00+00:00	31,64	29012,4	1	4,357	4,36	0
2013-08-16 17:05:00+00:00	31,5904	50236,1	2	732,493	732,496	0
2013-08-16 17:06:00+00:00	31,6003	52338,9	4	1536,556	1330,326	0
2013-08-16 17:07:00+00:00	31,6103	56528,5	0	-0,002	0,001	0
2013-08-16 17:08:00+00:00	31,6003	43409,7	2	24,513	0,001	13,379
2013-08-16 17:09:00+00:00	31,5904	39372,4	1	46,839	46,841	0
2013-08-16 17:10:00+00:00	31,5904	39494,3	1	9,642	9,644	0
2013-08-16 17:11:00+00:00	31,5805	22742,2	2	298,301	294,06	4,243
2013-08-16 17:12:00+00:00	31,5805	11179,1	0	-0,001	0	0
2013-08-16 17:13:00+00:00	31,5706	26322,1	4	1371,062	1355,832	0
2013-08-16 17:14:00+00:00	31,5606	50991,8	1	122,828	122,83	0
2013-08-16 17:15:00+00:00	31,5805	36726,4	2	88,89	0,001	88,891
2013-08-16 17:16:00+00:00	31,5904	19596,5	1	15,066	15,068	0
